datetime;total_robos;total_lesiones;total_homicidios;delitos_patrimoniales;secuestro;violacion;otros_delitos
2013-01-01;5943;1593;261;1971;134;128;4177
2013-02-01;5461;1533;294;1982;115;197;4107
2013-03-01;5511;1607;363;2040;149;160;4315
2013-04-01;5829;1767;281;2218;146;194;4793
2013-05-01;5740;1842;337;2224;135;183;4741
2013-06-01;5349;1764;289;2028;142;121;4438
2013-07-01;5908;1665;229;2043;151;169;4569
2013-08-01;6289;1642;275;2084;151;138;4574
2013-09-01;5676;1687;216;1955;137;130;4232
2013-10-01;5947;1738;261;2120;157;102;4716
2013-11-01;5490;1579;288;1981;152;173;4177
2013-12-01;5290;1679;382;1894;119;949;3870
2014-01-01;666;173;19;305;0;11;327
2014-02-01;739;195;23;347;0;3;360
2014-03-01;789;217;18;339;0;15;323
2014-04-01;763;235;18;332;0;8;375
2014-05-01;750;238;22;375;0;10;385
2014-06-01;738;230;13;354;0;7;416
2014-07-01;819;254;21;374;0;12;392
2014-08-01;829;218;17;330;0;6;364
2014-09-01;799;200;21;348;1;10;359
2014-10-01;865;248;21;386;0;8;443
2014-11-01;727;207;22;298;0;8;306
2014-12-01;749;202;31;296;0;10;354
2015-01-01;412;802;75;726;1;56;228
2015-02-01;373;805;83;724;1;45;268
2015-03-01;341;896;90;890;0;54;387
2015-04-01;337;855;96;827;2;48;258
2015-05-01;326;898;93;824;2;63;274
2015-06-01;361;967;108;906;2;63;362
2015-07-01;387;988;113;937;1;54;346
2015-08-01;421;958;116;994;1;58;311
2015-09-01;377;934;120;904;0;67;353
2015-10-01;432;914;111;960;0;76;313
2015-11-01;488;765;118;830;1;47;258
2015-12-01;442;765;106;845;0;56;257
2016-01-01;909;127;9;297;0;9;467
2016-02-01;886;149;8;332;0;15;576
2016-03-01;833;153;10;266;0;28;590
2016-04-01;806;149;12;303;0;24;616
2016-05-01;834;165;13;281;0;10;643
2016-06-01;938;205;20;347;0;13;582
2016-07-01;981;202;15;343;0;13;556
2016-08-01;117;183;36;319;0;28;622
2016-09-01;999;166;34;301;0;8;580
2016-10-01;952;185;32;336;0;12;708
2016-11-01;145;158;29;325;0;15;554
2016-12-01;165;141;30;295;0;16;580
